date,lat,long,num_pickups
10/3/2009,0,0,5171
4/27/2009,0,0,5136
1/19/2009,0,0,5122
10/6/2009,0,0,5108
9/25/2009,0,0,5072
9/26/2009,0,0,5056
9/30/2009,0,0,5009
11/27/2009,0,0,4997
6/10/2009,0,0,4985
10/25/2009,0,0,4964
9/10/2009,0,0,4948
5/24/2009,0,0,4944
6/11/2009,0,0,4920
9/18/2009,0,0,4887
9/11/2009,0,0,4860
10/19/2009,0,0,4836
9/27/2009,0,0,4828
6/9/2009,0,0,4784
10/20/2009,0,0,4764
1/1/2009,0,0,4756
10/11/2009,0,0,4749
10/14/2009,0,0,4746
8/13/2009,0,0,4735
7/29/2009,0,0,4720
6/7/2009,0,0,4714
9/16/2009,0,0,4686
9/9/2009,0,0,4654
10/4/2009,0,0,4627
7/15/2009,0,0,4597
9/19/2009,0,0,4594
7/17/2009,0,0,4568
9/24/2009,0,0,4527
9/29/2009,0,0,4523
8/28/2009,0,0,4513
12/27/2009,0,0,4504
8/19/2009,0,0,4474
7/30/2009,0,0,4467
8/5/2009,0,0,4462
7/16/2009,0,0,4462
10/12/2009,0,0,4451
8/14/2009,0,0,4441
6/26/2009,0,0,4433
8/27/2009,0,0,4422
11/26/2009,0,0,4417
10/13/2009,0,0,4412
9/3/2009,0,0,4394
9/12/2009,0,0,4390
7/21/2009,0,0,4388
6/18/2009,0,0,4386
9/13/2009,0,0,4386
7/23/2009,0,0,4366
6/12/2009,0,0,4365
8/12/2009,0,0,4359
9/8/2009,0,0,4357
9/4/2009,0,0,4343
6/17/2009,0,0,4338
8/20/2009,0,0,4321
8/21/2009,0,0,4315
10/5/2009,0,0,4312
6/1/2009,0,0,4295
9/2/2009,0,0,4279
7/31/2009,0,0,4275
6/25/2009,0,0,4271
3/2/2009,0,0,4267
12/26/2009,0,0,4234
8/6/2009,0,0,4231
8/18/2009,0,0,4228
7/24/2009,0,0,4148
8/30/2009,0,0,4129
8/26/2009,0,0,4126
7/14/2009,0,0,4116
8/4/2009,0,0,4087
7/11/2009,0,0,4084
6/27/2009,0,0,4082
8/29/2009,0,0,4082
8/7/2009,0,0,4058
7/22/2009,0,0,4058
9/14/2009,0,0,4056
6/16/2009,0,0,4052
8/16/2009,0,0,4046
7/28/2009,0,0,4043
9/23/2009,0,0,4027
9/20/2009,0,0,4027
8/22/2009,0,0,4018
9/5/2009,0,0,4012
8/17/2009,0,0,4005
6/20/2009,0,0,3976
6/13/2009,0,0,3962
7/9/2009,0,0,3961
9/22/2009,0,0,3957
7/10/2009,0,0,3946
9/15/2009,0,0,3941
7/18/2009,0,0,3937
8/11/2009,0,0,3935
6/8/2009,0,0,3931
9/1/2009,0,0,3901
7/25/2009,0,0,3853
9/28/2009,0,0,3823
6/19/2009,0,0,3800
6/24/2009,0,0,3788
8/15/2009,0,0,3778
8/1/2009,0,0,3776
6/30/2009,0,0,3766
7/19/2009,0,0,3762
6/28/2009,0,0,3744
7/20/2009,0,0,3741
8/31/2009,0,0,3720
8/2/2009,0,0,3719
7/26/2009,0,0,3717
9/21/2009,0,0,3711
8/10/2009,0,0,3682
6/23/2009,0,0,3672
5/25/2009,0,0,3644
9/6/2009,0,0,3623
6/29/2009,0,0,3618
6/15/2009,0,0,3597
7/8/2009,0,0,3591
8/23/2009,0,0,3581
7/12/2009,0,0,3564
7/2/2009,0,0,3563
8/8/2009,0,0,3523
6/22/2009,0,0,3504
8/25/2009,0,0,3485
8/9/2009,0,0,3478
7/13/2009,0,0,3392
9/7/2009,0,0,3367
6/21/2009,0,0,3353
7/27/2009,0,0,3341
7/7/2009,0,0,3333
6/14/2009,0,0,3289
8/3/2009,0,0,3286
12/25/2009,0,0,3258
8/24/2009,0,0,3236
7/1/2009,0,0,3193
7/6/2009,0,0,3182
7/3/2009,0,0,3132
7/5/2009,0,0,2880
7/4/2009,0,0,2854
10/30/2009,41.366138,-73.137393,1521
10/23/2009,41.366138,-73.137393,1372
12/18/2009,41.366138,-73.137393,1333
12/11/2009,41.366138,-73.137393,1309
12/3/2009,41.366138,-73.137393,1295
10/22/2009,41.366138,-73.137393,1283
10/16/2009,41.366138,-73.137393,1279
11/13/2009,41.366138,-73.137393,1274
11/6/2009,41.366138,-73.137393,1272
10/29/2009,41.366138,-73.137393,1269
12/4/2009,41.366138,-73.137393,1262
10/15/2009,41.366138,-73.137393,1258
11/5/2009,41.366138,-73.137393,1257
12/16/2009,41.366138,-73.137393,1243
12/17/2009,41.366138,-73.137393,1231
11/2/2009,41.366138,-73.137393,1225
11/4/2009,41.366138,-73.137393,1200
11/19/2009,41.366138,-73.137393,1200
11/20/2009,41.366138,-73.137393,1185
11/21/2009,41.366138,-73.137393,1181
1/9/2009,41.366138,-73.137393,1173
12/5/2009,41.366138,-73.137393,1163
10/24/2009,41.366138,-73.137393,1160
12/10/2009,41.366138,-73.137393,1158
10/28/2009,41.366138,-73.137393,1156
12/2/2009,41.366138,-73.137393,1155
1/8/2009,41.366138,-73.137393,1149
11/18/2009,41.366138,-73.137393,1146
10/9/2009,41.366138,-73.137393,1145
10/31/2009,41.366138,-73.137393,1143
11/12/2009,41.366138,-73.137393,1131
10/17/2009,41.366138,-73.137393,1124
10/8/2009,41.366138,-73.137393,1123
10/21/2009,41.366138,-73.137393,1123
11/3/2009,41.366138,-73.137393,1114
12/8/2009,41.366138,-73.137393,1114
11/7/2009,41.366138,-73.137393,1103
10/20/2009,41.366138,-73.137393,1102
10/27/2009,41.366138,-73.137393,1100
10/19/2009,41.366138,-73.137393,1082
12/12/2009,41.366138,-73.137393,1068
1/10/2009,41.366138,-73.137393,1057
11/16/2009,41.366138,-73.137393,1054
12/19/2009,41.366138,-73.137393,1051
12/9/2009,41.366138,-73.137393,1046
10/1/2009,41.366138,-73.137393,1043
11/24/2009,41.366138,-73.137393,1042
11/17/2009,41.366138,-73.137393,1036
11/25/2009,41.366138,-73.137393,1033
10/14/2009,41.366138,-73.137393,1032
11/14/2009,41.366138,-73.137393,1030
9/17/2009,41.366138,-73.137393,1029
10/2/2009,41.366138,-73.137393,1019
11/10/2009,41.366138,-73.137393,1014
9/16/2009,41.366138,-73.137393,1008
9/18/2009,41.366138,-73.137393,1001
12/1/2009,41.366138,-73.137393,992
12/23/2009,41.366138,-73.137393,985
1/16/2009,41.366138,-73.137393,984
11/30/2009,41.366138,-73.137393,983
1/14/2009,41.366138,-73.137393,966
10/7/2009,41.366138,-73.137393,965
1/6/2009,41.366138,-73.137393,964
9/30/2009,41.366138,-73.137393,961
10/10/2009,41.366138,-73.137393,959
11/9/2009,41.366138,-73.137393,959
11/1/2009,41.366138,-73.137393,953
10/13/2009,41.366138,-73.137393,947
10/26/2009,41.366138,-73.137393,938
12/15/2009,41.366138,-73.137393,935
11/11/2009,41.366138,-73.137393,933
12/30/2009,41.366138,-73.137393,929
1/7/2009,41.366138,-73.137393,928
11/23/2009,41.366138,-73.137393,928
1/13/2009,41.366138,-73.137393,923
12/7/2009,41.366138,-73.137393,915
